iter	RMSE
0	21180048.88
1	19954718.6
2	18865063.12
3	17863371.29
4	16976447.06
5	16196007.74
6	15487962.91
7	14837960.61
8	14243560.98
9	13730295.04
10	13276718.35
11	12842288.9
12	12477406.79
13	12102944.67
14	11806119.23
15	11527352.61
16	11295791.62
17	11091187.07
18	10894646.1
19	10728686.93
20	10569101.19
21	10431037.43
22	10312857.45
23	10197735.35
24	10097882.58
25	10011738.77
26	9911618.755
27	9840897.659
28	9774111.896
29	9714243.826
30	9654906.418
31	9597908.724
32	9549543.903
33	9497530.347
34	9448659.67
35	9412934.347
36	9380702.849
37	9328102.666
38	9280664.135
39	9245603.566
40	9215957.019
41	9184342.818
42	9150825.366
43	9125380.37
44	9097508.334
45	9071487.759
46	9048475.244
47	9025260.077
48	9003964.584
49	8988514.084
50	8971002.66
51	8958982.492
52	8931891.224
53	8913281.741
54	8899575.719
55	8882560.134
56	8872895.986
57	8853388.779
58	8840855.222
59	8820015.596
60	8809158.549
61	8783138.221
62	8762288.558
63	8746395.012
64	8738410.178
65	8733344.411
66	8719402.881
67	8703374.277
68	8689437.216
69	8671356.893
70	8665942.759
71	8656088.638
72	8645487.333
73	8625973.121
74	8617716.997
75	8612095.978
76	8596807.232
77	8587846.886
78	8578406.176
79	8556791.687
80	8539049.464
81	8532056.021
82	8519889.956
83	8514544.209
84	8499093.112
85	8490014.423
86	8476129.991
87	8469294.781
88	8464700.47
89	8451056.02
90	8430197.841
91	8421622.894
92	8418534.299
93	8407216.593
94	8394870.193
95	8388056.736
96	8377288.335
97	8358846.708
98	8352843.267
99	8340345.486
100	8325767.828
101	8321292.049
102	8308904.587
103	8300362.609
104	8295116.255
105	8290797.262
106	8281128.343
107	8274344.504
108	8271120.836
109	8260039.242
110	8240354.942
111	8234565.898
112	8225948.779
113	8217497.761
114	8213138.726
115	8207051.363
116	8200465.673
117	8191345.317
118	8187035.011
119	8181249.938
120	8172138.394
121	8163807.434
122	8157075.989
123	8150336.241
124	8143667.576
125	8138834.171
126	8134527.473
127	8130055.674
128	8122598.278
129	8114361.157
130	8104212.959
131	8098879.534
132	8096061.268
133	8086169.865
134	8081622.707
135	8075611.398
136	8070947.909
137	8065300.355
138	8062895.451
139	8051168.498
140	8042779.098
141	8031933.506
142	8029077.444
143	8025760.922
144	8019919.315
145	8011317.831
146	8006374.757
147	8002942.539
148	7999244.02
149	7993695.316
150	7987077.151
151	7980090.407
152	7970103.487
153	7967074.317
154	7964213.402
155	7959484.166
156	7954640.253
157	7948914.513
158	7944161.675
159	7936052.962
160	7933303.851
161	7929698.339
162	7918662.197
163	7913886.57
164	7911514.933
165	7906629.116
166	7900715.448
167	7894690.512
168	7891447.097
169	7883028.699
170	7876641.416
171	7871697.693
172	7867679.311
173	7861075.51
174	7858061.456
175	7850112.997
176	7843224.176
177	7838118.884
178	7831967.294
179	7829382.663
180	7823155.142
181	7818582.379
182	7813635.306
183	7806365.731
184	7799484.073
185	7790971.947
186	7782763.655
187	7777646.482
188	7774942.001
189	7772915.053
190	7766722.314
191	7762409.116
192	7754900.785
193	7751899.974
194	7744410.274
195	7736306.459
196	7732462.445
197	7729818.215
198	7725996.26
199	7721366.299
200	7716694.132
201	7712128.155
202	7705729.213
203	7698276.155
204	7691899.505
205	7686496.467
206	7680758.49
207	7676031.025
208	7672824.053
209	7666115.702
210	7661729.306
211	7658319.552
212	7654396.245
213	7651650.707
214	7644651.596
215	7640665.725
216	7638086.966
217	7632876.137
218	7628399.459
219	7625934.876
220	7621076.996
221	7617536.625
222	7613808.005
223	7609050.97
224	7605800.113
225	7602368.82
226	7596234.43
227	7592052.972
228	7590723.925
229	7588368.857
230	7586457.973
231	7580516.881
232	7577249.784
233	7573618.216
234	7569562.824
235	7566875.766
236	7563498.444
237	7558817.28
238	7555659.467
239	7552593.901
240	7549735.295
241	7542865.185
242	7540309.979
243	7536334.433
244	7531781.334
245	7526283.181
246	7523201.876
247	7521318.669
248	7518008.09
249	7514649.403
250	7513022.941
251	7506375.208
252	7503794.895
253	7499339.603
254	7496640.044
255	7492561.745
256	7487123.634
257	7483594.606
258	7479642.409
259	7476778.664
260	7472060.874
261	7469466.312
262	7467488.577
263	7462369.258
264	7459360.749
265	7454412.994
266	7452145.697
267	7447111.926
268	7444146.72
269	7438808.716
270	7437224.175
271	7431607.496
272	7428615.648
273	7421742.808
274	7418292.927
275	7415925.408
276	7414422.107
277	7409156.639
278	7407680.326
279	7404009.842
280	7401719.387
281	7399593.532
282	7396280.944
283	7389947.048
284	7385400.388
285	7380464.483
286	7375702.184
287	7371166.112
288	7366916.78
289	7360291.866
290	7358932.636
291	7354318.46
292	7353227.105
293	7349205.267
294	7346036.927
295	7337164.384
296	7333111.787
297	7327087.988
298	7323237.804
299	7318667.208
300	7313977.998
301	7311068.983
302	7310109.527
303	7304396.454
304	7299977.461
305	7298743.975
306	7290821.254
307	7285152.903
308	7279535.544
309	7276822.409
310	7272892.582
311	7268553.253
312	7263335.158
313	7259609.069
314	7258474.19
315	7254217.545
316	7249870.636
317	7247144.445
318	7243227.445
319	7239108.126
320	7236180.949
321	7233789.33
322	7228739.215
323	7225275.735
324	7219061.501
325	7214766.201
326	7210835.356
327	7206888.386
328	7204953.847
329	7200469.22
330	7196975.156
331	7192974.309
332	7189912.748
333	7185885.173
334	7182417.834
335	7180897.107
336	7176871.898
337	7172621.093
338	7169050.196
339	7164559.423
340	7159710.471
341	7157229.06
342	7154917.312
343	7153836.924
344	7152219.53
345	7150276.424
346	7148318.435
347	7145638.879
348	7143097.884
349	7136700.358
350	7133082.35
351	7130345.101
352	7125778.319
353	7119924.532
354	7114529.36
355	7111188.359
356	7108348.661
357	7105127.932
358	7101980.606
359	7100270.769
360	7096974.53
361	7093130.722
362	7091803.522
363	7088673.338
364	7087256.068
365	7082724.743
366	7081095.666
367	7077914.932
368	7074804.848
369	7072721.872
370	7071105.383
371	7068001.315
372	7065086.209
373	7062684.095
374	7059453.734
375	7054171.319
376	7048942.579
377	7046120.297
378	7043104.16
379	7041138.514
380	7038611.068
381	7036670.434
382	7032922.776
383	7029377.056
384	7027490.91
385	7025010.276
386	7021511.693
387	7018737.349
388	7015113.109
389	7014378.682
390	7012376.361
391	7010167.895
392	7008784.648
393	7007327.203
394	7005950.575
395	7002650.805
396	6999638.865
397	6997088.577
398	6995178.472
399	6993580.584
400	6988026.492
401	6985182.499
402	6983062.957
403	6980741.274
404	6978724.691
405	6977401.522
406	6974302.609
407	6969715.446
408	6966579.705
409	6962047.594
410	6961275.308
411	6960474.735
412	6958647.938
413	6954043.967
414	6953366.334
415	6949577.43
416	6947746.914
417	6944508.364
418	6939927.2
419	6936975.359
420	6934503.166
421	6933369.944
422	6928980.081
423	6924598.39
424	6919402.926
425	6918481.984
426	6916382.491
427	6913596.653
428	6910068.748
429	6907701.898
430	6906366.534
431	6903984.271
432	6901601.329
433	6900204.826
434	6898491.855
435	6897491.94
436	6895081.083
437	6891808.332
438	6890484.317
439	6887683.816
440	6884919.8
441	6881788.018
442	6879338.102
443	6876412.645
444	6874134.518
445	6872209.661
446	6869824.663
447	6867077.689
448	6863558.122
449	6860998.093
450	6858365.691
451	6854781.783
452	6851753.733
453	6851021.687
454	6848308.359
455	6847188.764
456	6844188.239
457	6842334.991
458	6840446.815
459	6839737.007
460	6837872.091
461	6836469.411
462	6833523.09
463	6831370.545
464	6828675.51
465	6827839.15
466	6826529.181
467	6824423.621
468	6822959.419
469	6820625.412
470	6818549.869
471	6815892.21
472	6814834.272
473	6812930.365
474	6809631.596
475	6807810.541
476	6805800.729
477	6802959.521
478	6800926.598
479	6799644.437
480	6796434.33
481	6795378.89
482	6791512.461
483	6789066.872
484	6787759.405
485	6787153.83
486	6786502.336
487	6783103.778
488	6781066.704
489	6779537.789
490	6779140.497
491	6775401.591
492	6771677.844
493	6769857.132
494	6769174.804
495	6767303.318
496	6766322.466
497	6764938.515
498	6764258.595
499	6760205.333
500	6758989.76
501	6758494.364
502	6756815.788
503	6753644.479
504	6750588.933
505	6748934.598
506	6747846.664
507	6746461.608
508	6744703.084
509	6743090.853
510	6741846.026
511	6740075.87
512	6738273.681
513	6732372.301
514	6730091.63
515	6728370.473
516	6726887.054
517	6725335.677
518	6724302.722
519	6722039.706
520	6721570.217
521	6719468.749
522	6717476.297
523	6715898.64
524	6712872.147
525	6710551.274
526	6707522.144
527	6705580.629
528	6703893.738
529	6702779.088
530	6700791.057
531	6698995.511
532	6696232.757
533	6695674.371
534	6692817.216
535	6691387.784
536	6688792.358
537	6686397.291
538	6684825.46
539	6683970.867
540	6682616.279
541	6680600.764
542	6679205.7
543	6677518.076
544	6675856.609
545	6674215.853
546	6673414.76
547	6670630.846
548	6668789.063
549	6666835.714
550	6664780.656
551	6662386.716
552	6658417.604
553	6654178.25
554	6653020.457
555	6648621.23
556	6646397.721
557	6644210.965
558	6642869.249
559	6640764.091
560	6639425.423
561	6638037.529
562	6636772.504
563	6635627.289
564	6634994.883
565	6633613.517
566	6631792.331
567	6629503.323
568	6627857.519
569	6626573.101
570	6625051.267
571	6623335.465
572	6619233.67
573	6617432.287
574	6615249.077
575	6614312.273
576	6613296.861
577	6611675.363
578	6609876.764
579	6607215.832
580	6603105.678
581	6601692.759
582	6600720.199
583	6599491.676
584	6598176.579
585	6596768.002
586	6595908.207
587	6594441.092
588	6592416.134
589	6591692.381
590	6590404.456
591	6586455.009
592	6582975.985
593	6581456.946
594	6577736.633
595	6576059.767
596	6573590.338
597	6571135.949
598	6570126.192
599	6568870.81
600	6566658.305
601	6564775.353
602	6563466.461
603	6562318.092
604	6561675.425
605	6560075.767
606	6559060.31
607	6558345.086
608	6557492.9
609	6554503.944
610	6551991.573
611	6551572.559
612	6547739.331
613	6546873.709
614	6543585.619
615	6540379.759
616	6538934.167
617	6537244.79
618	6535815.119
619	6533935.973
620	6531967.146
621	6530458.651
622	6528678.897
623	6527637.271
624	6525591.194
625	6525367.9
626	6522494.596
627	6519854.157
628	6518832.948
629	6518475.764
630	6517031.637
631	6515486.426
632	6513942.005
633	6512826.776
634	6511068.144
635	6510001.798
636	6508294.702
637	6507731.801
638	6505503.822
639	6503536.249
640	6502088.161
641	6500952.335
642	6499761.4
643	6497585.668
644	6496007.124
645	6494316.416
646	6491644.4
647	6489867.927
648	6487946.871
649	6484951.931
650	6483983.026
651	6483057.805
652	6481056.964
653	6479768.404
654	6478055.328
655	6476277.787
656	6475219.74
657	6474656.826
658	6471934.938
659	6470824.454
660	6468442.419
661	6466798.703
