iter	Passed	Remaining
0	43	43905
1	87	43750
2	117	38964
3	139	34644
4	159	31776
5	180	29842
6	210	29793
7	252	31284
8	292	32177
9	312	30916
10	331	29763
11	351	28913
12	371	28169
13	390	27519
14	410	26925
15	428	26336
16	447	25886
17	465	25369
18	483	24985
19	503	24656
20	521	24331
21	541	24093
22	560	23788
23	580	23602
24	598	23336
25	615	23052
26	634	22871
27	652	22637
28	670	22461
29	688	22258
30	707	22105
31	726	21974
32	743	21786
33	764	21715
34	783	21615
35	802	21484
36	820	21353
37	841	21293
38	859	21187
39	877	21060
40	896	20972
41	913	20845
42	933	20784
43	959	20852
44	978	20766
45	997	20683
46	1016	20603
47	1036	20559
48	1054	20461
49	1071	20360
50	1091	20309
51	1109	20232
52	1127	20146
53	1146	20087
54	1164	20004
55	1181	19912
56	1197	19811
57	1215	19740
58	1233	19675
59	1250	19593
60	1268	19527
61	1287	19476
62	1305	19415
63	1322	19334
64	1339	19273
65	1355	19186
66	1371	19105
67	1392	19091
68	1411	19046
69	1429	18989
70	1445	18918
71	1464	18874
72	1482	18823
73	1501	18794
74	1518	18732
75	1538	18705
76	1576	18901
77	1608	19007
78	1628	18988
79	1646	18939
80	1667	18915
81	1683	18849
82	1701	18793
83	1720	18767
84	1739	18730
85	1759	18699
86	1779	18669
87	1795	18606
88	1815	18578
89	1834	18552
90	1856	18545
91	1872	18484
92	1890	18438
93	1908	18391
94	1927	18362
95	1945	18315
96	1962	18267
97	1979	18216
98	1993	18146
99	2013	18121
100	2033	18102
101	2051	18056
102	2069	18021
103	2087	17985
104	2107	17960
105	2126	17932
106	2144	17893
107	2158	17829
108	2175	17784
109	2195	17762
110	2216	17752
111	2233	17707
112	2250	17664
113	2267	17626
114	2287	17600
115	2306	17577
116	2323	17536
117	2339	17484
118	2355	17438
119	2375	17419
120	2396	17411
121	2413	17369
122	2428	17317
123	2449	17304
124	2469	17283
125	2487	17251
126	2502	17203
127	2522	17184
128	2540	17154
129	2558	17121
130	2579	17110
131	2598	17087
132	2617	17060
133	2633	17016
134	2650	16984
135	2668	16955
136	2686	16920
137	2704	16891
138	2718	16840
139	2736	16807
140	2757	16797
141	2776	16778
142	2794	16749
143	2810	16705
144	2826	16668
145	2844	16640
146	2860	16596
147	2880	16580
148	2898	16553
149	2914	16513
150	2933	16494
151	2951	16466
152	2969	16440
153	2987	16410
154	3005	16386
155	3022	16354
156	3038	16313
157	3055	16282
158	3070	16242
159	3088	16213
160	3106	16189
161	3123	16156
162	3142	16135
163	3158	16099
164	3175	16071
165	3193	16045
166	3211	16018
167	3230	16000
168	3263	16048
169	3302	16123
170	3341	16199
171	3359	16171
172	3377	16147
173	3396	16125
174	3415	16101
175	3438	16098
176	3454	16063
177	3475	16049
178	3491	16015
179	3509	15988
180	3526	15958
181	3543	15927
182	3562	15904
183	3581	15882
184	3603	15875
185	3621	15848
186	3639	15821
187	3658	15802
188	3675	15770
189	3696	15756
190	3713	15728
191	3727	15688
192	3745	15662
193	3762	15632
194	3783	15617
195	3801	15595
196	3818	15562
197	3838	15548
198	3853	15509
199	3871	15487
200	3889	15460
201	3907	15434
202	3928	15422
203	3945	15394
204	3963	15371
205	3983	15354
206	4001	15328
207	4019	15303
208	4037	15279
209	4057	15263
210	4073	15232
211	4094	15218
212	4111	15192
213	4126	15157
214	4145	15135
215	4163	15112
216	4180	15085
217	4197	15056
218	4216	15035
219	4234	15014
220	4251	14987
221	4272	14972
222	4289	14944
223	4306	14918
224	4323	14893
225	4342	14870
226	4366	14870
227	4384	14845
228	4404	14829
229	4423	14808
230	4436	14770
231	4455	14750
232	4473	14727
233	4497	14721
234	4517	14705
235	4534	14677
236	4553	14659
237	4570	14632
238	4587	14608
239	4605	14584
240	4622	14557
241	4644	14546
242	4662	14525
243	4681	14506
244	4701	14488
245	4723	14479
246	4740	14450
247	4758	14428
248	4775	14403
249	4796	14389
250	4816	14372
251	4833	14346
252	4851	14324
253	4882	14340
254	4911	14350
255	4939	14355
256	4966	14358
257	4993	14360
258	5014	14346
259	5046	14363
260	5116	14487
261	5184	14604
262	5232	14661
263	5276	14711
264	5300	14702
265	5327	14701
266	5349	14685
267	5373	14676
268	5398	14671
269	5420	14654
270	5443	14642
271	5467	14634
272	5503	14655
273	5549	14703
274	5587	14731
275	5609	14714
276	5636	14713
277	5681	14755
278	5712	14763
279	5728	14729
280	5744	14699
281	5761	14668
282	5781	14647
283	5797	14615
284	5815	14590
285	5837	14573
286	5855	14547
287	5875	14525
288	5895	14504
289	5912	14476
290	5931	14452
291	5949	14426
292	5969	14403
293	5987	14379
294	6007	14357
295	6028	14337
296	6044	14307
297	6063	14283
298	6081	14257
299	6099	14232
300	6117	14206
301	6139	14189
302	6158	14165
303	6178	14146
304	6195	14118
305	6213	14092
306	6236	14078
307	6255	14054
308	6275	14034
309	6293	14008
310	6314	13989
311	6332	13964
312	6350	13938
313	6368	13913
314	6388	13892
315	6409	13874
316	6426	13845
317	6444	13820
318	6463	13797
319	6480	13770
320	6499	13747
321	6515	13718
322	6533	13693
323	6553	13673
324	6570	13646
325	6587	13619
326	6607	13599
327	6624	13573
328	6643	13549
329	6660	13523
330	6681	13504
331	6701	13483
332	6722	13464
333	6741	13443
334	6761	13421
335	6782	13404
336	6805	13388
337	6826	13369
338	6845	13347
339	6866	13329
340	6886	13308
341	6906	13288
342	6926	13266
343	6946	13246
344	6967	13227
345	6985	13203
346	7004	13180
347	7022	13157
348	7039	13130
349	7063	13117
350	7083	13097
351	7099	13070
352	7117	13045
353	7137	13024
354	7156	13002
355	7177	12983
356	7195	12959
357	7218	12944
358	7236	12920
359	7258	12903
360	7277	12881
361	7296	12859
362	7314	12835
363	7335	12817
364	7354	12795
365	7374	12774
366	7393	12753
367	7412	12730
368	7430	12706
369	7450	12686
370	7469	12663
371	7488	12641
372	7507	12620
373	7528	12600
374	7550	12584
375	7572	12567
376	7590	12543
