iter	RMSE
0	21025186.87
1	19654890.95
2	18397741.12
3	17274271.38
4	16268068.31
5	15352872.16
6	14539662.83
7	13828174.8
8	13198125.42
9	12625335.39
10	12116228.17
11	11660385.47
12	11291910.31
13	10923437.62
14	10620903.09
15	10334587.56
16	10096456.98
17	9884445.134
18	9702574.889
19	9539681.647
20	9402076.003
21	9264648.173
22	9150769.103
23	9044134.312
24	8955537.825
25	8874185.586
26	8800174.855
27	8724782.285
28	8661580.058
29	8597798.526
30	8547966.811
31	8495434.436
32	8453784.354
33	8406656.662
34	8368516.262
35	8335890.111
36	8301144.701
37	8258923.629
38	8234711.094
39	8199061.438
40	8174922.367
41	8152051.629
42	8124371.647
43	8101736.063
44	8082905.755
45	8049515.528
46	8019714.821
47	8001766.798
48	7988809.657
49	7967972.615
50	7949564.454
51	7932090.134
52	7923148.333
53	7904051.039
54	7887724.247
55	7876387.759
56	7852240.984
57	7830382.568
58	7818814.857
59	7803849.22
60	7794481.44
61	7786321.206
62	7772658.039
63	7756368.862
64	7747452.493
65	7728677.671
66	7717236.351
67	7706233.254
68	7680999.445
69	7668243.311
70	7652636.767
71	7635561.89
72	7625359.99
73	7608651.712
74	7590622.794
75	7577378.868
76	7567604.403
77	7557416.735
78	7547535.895
79	7530939.033
80	7514571.703
81	7501701.868
82	7484751.769
83	7466369.186
84	7453259.011
85	7442261.619
86	7435930.847
87	7425256.653
88	7415025.718
89	7409566.084
90	7403840.327
91	7400112.061
92	7393343.17
93	7380344.266
94	7370344.343
95	7364067.623
96	7360035.879
97	7348266.968
98	7335058.465
99	7329299.411
100	7320947.998
101	7311469.872
102	7306756.348
103	7294930.032
104	7287738.203
105	7275994.401
106	7261782.853
107	7252468.589
108	7244383.259
109	7236803.052
110	7231285.87
111	7219667.446
112	7215403.013
113	7206719.632
114	7199273.567
115	7193652.007
116	7184345.214
117	7179962.254
118	7171482.679
119	7166344.515
120	7158766.334
121	7152133.68
122	7143094.724
123	7130484.005
124	7119747.878
125	7116107.163
126	7106774.377
127	7103765.623
128	7096521.912
129	7090811.753
130	7083252.047
131	7076818.535
132	7074016.539
133	7065078.627
134	7058586.218
135	7052692.023
136	7042421.721
137	7035786.786
138	7029526.624
139	7022245.58
140	7019514.55
141	7012579.108
142	7004104.431
143	6993541.551
144	6983929.815
145	6975821.743
146	6971922.14
147	6966025.749
148	6961691.955
149	6956167.782
150	6947805.005
151	6942015.11
152	6935099.207
153	6926490.209
154	6916142.697
155	6911990.748
156	6908630.788
157	6901971.281
158	6890131.934
159	6883584.832
160	6878583.944
161	6875497.631
162	6870940.073
163	6860203.304
164	6851098.13
165	6846641.913
166	6837867.002
167	6835247.321
168	6832251.491
169	6829320.834
170	6824760.249
171	6821161.802
172	6813707.322
173	6809120.299
174	6805183.262
175	6800556.528
176	6792728.231
177	6786654.064
178	6781548.438
179	6777862.391
180	6773040.32
181	6769954.647
182	6760592.687
183	6754388.633
184	6747094.717
185	6739486.723
186	6732136.435
187	6725314.616
188	6722577.14
189	6717275.413
190	6713409.166
191	6710265.939
192	6706242.209
193	6699271.405
194	6694074.421
195	6692334.894
196	6687899.041
197	6680129.271
198	6676059.177
199	6674704.891
200	6668776.639
201	6663242.038
202	6658577.093
203	6654116.709
204	6649541.919
205	6646078.751
206	6642475.608
207	6640251.308
208	6634369.055
209	6631501.991
210	6624190.105
211	6621539.82
212	6616785.579
213	6610380.106
214	6606070.287
215	6599660.088
216	6597570.232
217	6592599.755
218	6588019.173
219	6581967.801
220	6578334.977
221	6572730.052
222	6566615.065
223	6564455.07
224	6560142.693
225	6554598.048
226	6549351.322
227	6546979.298
228	6544066.188
229	6541412.306
230	6538406.878
231	6536847.428
232	6534272.388
233	6530789.272
234	6526281.953
235	6521250.755
236	6518848.106
237	6509871.526
238	6505354.469
239	6501431.619
240	6498835.235
241	6494428.829
242	6491091.049
243	6486996.677
244	6482999.431
245	6480638.773
246	6478605.931
247	6476491.076
248	6472646.779
249	6469044.818
250	6466286.673
251	6463122.121
252	6460013.339
253	6453321.814
254	6449686.771
255	6444722.281
256	6440282.961
257	6438560.981
258	6436707.343
259	6432530.241
260	6429158.216
261	6427096.996
262	6425538.115
263	6421470.501
264	6419220.313
265	6417675.486
266	6413499.253
267	6407625.849
268	6403884.131
269	6399292.485
270	6395658.234
271	6393331.931
