iter	Passed	Remaining
0	57	57083
1	67	33751
2	78	26058
3	88	22045
4	98	19601
5	108	17931
6	118	16834
7	129	16062
8	140	15457
9	150	14936
10	160	14458
11	171	14087
12	182	13830
13	193	13601
14	203	13366
15	213	13151
16	225	13016
17	235	12840
18	246	12722
19	256	12545
20	265	12400
21	276	12282
22	286	12173
23	297	12093
24	307	12007
25	318	11931
26	329	11870
27	339	11777
28	349	11687
29	359	11609
30	369	11556
31	380	11496
32	389	11421
33	401	11395
34	412	11375
35	424	11370
36	434	11314
37	446	11293
38	455	11232
39	466	11186
40	476	11153
41	486	11087
42	496	11055
43	507	11023
44	518	10993
45	528	10953
46	538	10918
47	549	10892
48	559	10856
49	568	10810
50	579	10787
51	589	10752
52	598	10702
53	610	10687
54	619	10650
55	630	10620
56	640	10588
57	649	10548
58	659	10522
59	669	10486
60	678	10444
61	688	10421
62	697	10378
63	706	10334
64	717	10314
65	726	10274
66	735	10239
67	745	10218
68	756	10202
69	766	10182
70	775	10145
71	786	10130
72	795	10103
73	807	10098
74	816	10075
75	827	10056
76	836	10027
77	846	10006
78	856	9986
79	866	9965
80	878	9966
81	888	9945
82	898	9928
83	908	9904
84	918	9891
85	929	9873
86	940	9866
87	949	9841
88	960	9830
89	970	9810
90	980	9795
91	990	9771
92	999	9748
93	1010	9735
94	1025	9773
95	1046	9856
96	1058	9853
97	1067	9828
98	1075	9789
99	1085	9769
100	1096	9760
101	1105	9737
102	1116	9723
103	1126	9708
104	1138	9701
105	1148	9683
106	1158	9667
107	1167	9639
108	1175	9611
109	1186	9600
110	1198	9595
111	1207	9573
112	1216	9551
113	1226	9529
114	1236	9515
115	1246	9496
116	1255	9477
117	1264	9454
118	1273	9425
119	1283	9410
120	1293	9398
121	1303	9381
122	1312	9358
123	1323	9349
124	1334	9340
125	1342	9314
126	1351	9290
127	1361	9278
128	1371	9262
129	1382	9250
130	1392	9240
131	1403	9230
132	1413	9211
133	1422	9191
134	1432	9178
135	1442	9161
136	1452	9148
137	1462	9134
138	1470	9110
139	1480	9093
140	1490	9083
141	1502	9077
142	1511	9058
143	1520	9037
144	1529	9021
145	1539	9006
146	1548	8985
147	1558	8974
148	1568	8959
149	1577	8938
150	1587	8927
151	1597	8913
152	1606	8895
153	1616	8879
154	1627	8870
155	1636	8854
156	1644	8831
157	1653	8811
158	1661	8789
159	1671	8776
160	1681	8760
161	1690	8744
162	1699	8728
163	1708	8711
164	1718	8695
165	1726	8672
166	1736	8662
167	1746	8647
168	1754	8629
169	1765	8619
170	1777	8615
171	1787	8605
172	1796	8589
173	1807	8581
174	1817	8568
175	1826	8553
176	1836	8538
177	1847	8529
178	1856	8515
179	1865	8497
180	1874	8481
181	1884	8469
182	1893	8455
183	1905	8448
184	1916	8442
185	1926	8429
186	1936	8417
187	1946	8405
188	1956	8394
189	1966	8384
190	1976	8371
191	1984	8353
192	1994	8338
193	2003	8324
194	2013	8312
195	2024	8304
196	2033	8289
197	2044	8280
198	2053	8264
199	2062	8249
200	2072	8237
201	2083	8229
202	2094	8224
203	2104	8213
204	2114	8198
205	2125	8194
206	2136	8185
207	2147	8177
208	2158	8167
209	2168	8158
210	2177	8143
211	2186	8128
212	2196	8116
213	2205	8102
214	2215	8090
215	2226	8081
216	2235	8066
217	2244	8052
218	2254	8041
219	2264	8028
220	2273	8015
221	2284	8006
222	2294	7994
223	2304	7982
224	2312	7966
225	2323	7955
226	2335	7952
227	2345	7941
228	2355	7930
229	2364	7917
230	2372	7899
231	2383	7890
232	2394	7882
233	2405	7875
234	2417	7869
235	2426	7856
236	2435	7842
237	2445	7831
238	2454	7816
239	2464	7805
240	2474	7793
241	2485	7786
242	2496	7776
243	2505	7763
244	2515	7751
245	2526	7743
246	2535	7728
247	2545	7718
248	2553	7702
249	2564	7694
250	2575	7684
251	2584	7671
252	2595	7663
253	2605	7651
254	2613	7636
255	2624	7627
256	2637	7623
257	2647	7614
258	2656	7599
259	2665	7585
260	2676	7577
261	2685	7565
262	2694	7550
263	2704	7539
264	2714	7529
265	2725	7521
266	2735	7509
267	2745	7498
268	2755	7487
269	2764	7474
270	2774	7463
271	2784	7453
272	2794	7442
273	2804	7430
274	2814	7418
275	2823	7407
276	2833	7396
277	2843	7385
278	2853	7374
279	2861	7358
280	2870	7345
281	2879	7332
282	2891	7325
283	2900	7313
284	2910	7301
285	2922	7295
286	2931	7281
287	2942	7274
288	2950	7259
289	2959	7246
290	2970	7237
291	2980	7225
292	2990	7216
293	2999	7203
294	3011	7196
295	3022	7189
